timestamp,q[0],q[1],q[2],q[3]
690232512,0.5581305,-0.42318833,0.3773962,0.60578394
690284516,0.55876255,-0.42412576,0.3767773,0.6049304
690336508,0.5603327,-0.42280307,0.37567222,0.60509115
690392573,0.55969566,-0.42287415,0.37703404,0.60478395
690444517,0.5583622,-0.42663953,0.38034967,0.6012858
690497419,0.55654466,-0.4299297,0.38498035,0.5976695
690549421,0.55412644,-0.43318212,0.38950843,0.5946263
690601433,0.55086434,-0.4378546,0.39503226,0.59057724
690653425,0.54983735,-0.4386853,0.39793244,0.5889685
690705426,0.553938,-0.43270996,0.39317656,0.5927286
690757313,0.55263376,-0.43502024,0.39564273,0.59060997
690809355,0.5519175,-0.43492958,0.39644083,0.59081143
690861330,0.5515959,-0.43487784,0.39729363,0.5905769
690917349,0.5493792,-0.4377926,0.40040582,0.58838373
690969310,0.5464548,-0.44121596,0.40391442,0.5861474
691021323,0.5452297,-0.4413613,0.40541825,0.58614075
691073315,0.5421653,-0.44468528,0.40969846,0.58348864
691125319,0.54779786,-0.4363258,0.40198097,0.58987176
691177315,0.5493777,-0.43462387,0.40057382,0.59061587
691229374,0.5477538,-0.43460494,0.4030024,0.5904858
691281314,0.5463036,-0.43691975,0.4051965,0.5886166
691337313,0.5457548,-0.43514463,0.40580007,0.59002316
691389320,0.54426086,-0.4383053,0.4071193,0.5881517
691438914,0.54190475,-0.43981847,0.41006756,0.58714885
691490919,0.5387274,-0.4428625,0.41333306,0.58549255
691542919,0.53751796,-0.44360796,0.4136201,0.585837
691594914,0.5355565,-0.44514155,0.41585615,0.5848863
691646926,0.5346958,-0.44539902,0.41636422,0.5851162
691698917,0.53680027,-0.44205895,0.4133423,0.58785844
691750916,0.5369471,-0.4415864,0.41229677,0.58881295
691802919,0.537285,-0.440881,0.4107635,0.59010357
691858915,0.53604066,-0.4420836,0.41171443,0.5896727
691910940,0.5366381,-0.44126284,0.41025344,0.5907613
691962914,0.53533936,-0.4427845,0.41135478,0.5900348
692014911,0.53892386,-0.43786895,0.4060196,0.5941212
692066914,0.53816473,-0.439426,0.40693042,0.5930355
692120619,0.532651,-0.44691288,0.41417953,0.587373
692172513,0.5326091,-0.44666538,0.41392237,0.5877805
692224520,0.5338459,-0.4460839,0.4124104,0.5881627
692276529,0.5304094,-0.45072758,0.4172118,0.58433294
692328529,0.524915,-0.45769137,0.4242977,0.57875246
692380519,0.523145,-0.4603144,0.42673087,0.57648146
692436508,0.52793765,-0.45502856,0.42138302,0.5802304
692488508,0.52969223,-0.45316488,0.42006356,0.581046
692540516,0.5246957,-0.46009994,0.427205,0.57488996
692592567,0.5202731,-0.4654924,0.43335676,0.5699428
692644516,0.5184163,-0.4681446,0.43643737,0.5671047
692696515,0.5237337,-0.46175516,0.4307327,0.5717996
692748515,0.5352064,-0.44842568,0.41809198,0.58109176
692800519,0.5370928,-0.44640774,0.4174997,0.5813309
692853456,0.5330872,-0.45136446,0.42301297,0.57719004
692905429,0.531362,-0.4535113,0.4261089,0.57481587
692961431,0.52582735,-0.45984277,0.43254292,0.57004994
